Packet Number,Deed Number,,Deed Name,Deed Type,Case Ref,Transaction Date,Consideration Â£
D000634,0001,,GARAGE 29 HAMBLEDON PLACE PETERLEE,Freehold Acquisition,,09-Nov-12,1800
D000601,0037,,40 DENE TERRACE CHILTON,Freehold Acquisition,,12-Dec-12,38700
D000601,0017,,8 DENE TERRACE CHILTON,Freehold Acquisition,,20-Dec-12,28000
D000601,0016,,7 DENE TERRACE CHILTON,Freehold Acquisition,,20-Dec-12,30000
D000485,0003,,"LAND AT HIGH FLATTS FARM, PELTON",Freehold Acquisition,,15-Jan-13,150000
D000601,0014,,45 DENE TERRACE CHILTON,Freehold Acquisition,,31-Jan-13,38000
D000601,0015,,48 DENE TERRACE CHILTON,Freehold Acquisition,,31-Jan-13,32250
D000768,0001,,"39 THE OAKES, ESH WINNING DH7 9AH",Freehold Acquisition,,31-Jan-13,71500
D000601,0032,,13 DENE TERRACE CHILTON,Freehold Acquisition,,14-Feb-13,30000
D000601,0033,,31 DENE TERRACE CHILTON,Freehold Acquisition,,18-Feb-13,22000
D000601,0031,,24 DENE TERRACE CHILTON,Freehold Acquisition,,15-Mar-13,31500
D000601,0040,,"9 DENE TERRACE, CHILTON",Freehold Acquisition,,10-Apr-13,26450
D000601,0041,,"17 DENE TERRACE, CHILTON",Freehold Acquisition,,26-Apr-13,44000
D000601,0043,,"35 DENE TERRACE, CHILTON",Freehold Acquisition,,02-Jul-13,40000
D000601,0042,,"29 DENE TERRACE, CHILTON",Freehold Acquisition,,08-Jul-13,35000
D000787,0001,,OPEN SPACE EAST OF KNITSLEY LANE CONSETT,Freehold Acquisition,,10-Jul-13,0
D000601,0047,,"25 DENE TERRACE, CHILTON",Freehold Acquisition,,22-Jul-13,35500
D000601,0045,,"21 DENE TERRACE, CHILTON",Freehold Acquisition,,30-Jul-13,35000
D000601,0044,,"16 DENE TERRACE, CHILTON",Freehold Acquisition,,30-Jul-13,30000
D000789,0002,,1 ROWAN COURT ESH WINNING DURHAM COUNTY DURHAM,Freehold Acquisition,,07-Aug-13,73700
D000601,0046,,"FORMER ST JOHN AMBULANCE HALL, HUNTER TERRACE",Freehold Acquisition,,13-Aug-13,17750
HB12511,0003,,A688 WHEATLY HILL TO BOWBURN LINK,Freehold Acquisition,,19-Aug-13,186951
D000813,0001,,"THORNLEY COMMUNITY CENTRE, HIGH STREET, THORNLEY",Freehold Acquisition,,04-Sep-13,1
D000601,0049,,"5 DENE TERRACE, CHILTON",Freehold Acquisition,,29-Nov-13,500
D000601,0048,,"3 DENE TERRACE, CHILTON",Freehold Acquisition,,29-Nov-13,500
D000601,0050,,"2 DENE TERRACE, CHILTON",Freehold Acquisition,,28-Jan-14,25000
D000854,0002,,LAND AT JUNCTION OF BROWNEY LANE/A167 SUNDERLAND B,Freehold Acquisition,,28-Feb-14,17500
D000866,0001,,"28-29 LAMBOURNE CLOSE, BOURNMOOR",Freehold Acquisition,,28-Feb-14,0
D000505,0002,,"6 NORMAN TERRACE, CHILTON",Freehold Acquisition,,12-Mar-14,26000
PL00517,0002,,"6 FARADAY ROAD, PETERLEE ",Freehold Acquisition,,19-Mar-14,220000
D000601,0051,,LAND AT NORMAN TERRACE CHILTON - CHILTON REGENERAT,Freehold Acquisition,,23-Apr-14,0
D000881,0001,,LAND AT KINGSWOOD NATURE RESERVE QUARRINGTON HILL ,Freehold Acquisition,,25-Apr-14,30000
D000889,0001,,"5 QUEEN STREET, CROOK",Freehold Acquisition,,06-May-14,70000
